accident_no,surface_cond_desc
T20060003145,Dry
T20060003146,Dry
T20060003147,Dry
T20060003149,Dry
T20060003152,Dry
T20060003153,Dry
T20060003155,Dry
T20060003156,Dry
T20060003158,Dry
T20060003160,Unknown
T20060003162,Dry
T20060003163,Dry
T20060003166,Dry
T20060003168,Dry
T20060003169,Dry
T20060003170,Dry
T20060003171,Dry
T20060003172,Unknown
T20060003173,Dry
T20060003175,Dry
T20060003176,Dry
T20060003180,Dry
T20060003184,Dry
T20060003186,Dry
T20060003187,Dry
T20060003188,Dry
T20060003190,Dry
T20060003193,Dry
T20060003195,Wet
T20060003195,Muddy
T20060003196,Dry
T20060003198,Dry
T20060003200,Dry
T20060003202,Dry
T20060003205,Dry
T20060003206,Dry
T20060003208,Dry
T20060003209,Dry
T20060003210,Dry
T20060003211,Dry
T20060003212,Dry
T20060003214,Dry
T20060003215,Dry
T20060003216,Dry
T20060003217,Dry
T20060003218,Dry
T20060003220,Dry
T20060003221,Dry
T20060003225,Dry
T20060003227,Dry
T20060003228,Dry
T20060003229,Dry
T20060003231,Dry
T20060003233,Dry
T20060003236,Dry
T20060003237,Dry
T20060003240,Dry
T20060003241,Dry
T20060003250,Dry
T20060003252,Dry
T20060003259,Dry
T20060003260,Dry
T20060003261,Dry
T20060003265,Dry
T20060003268,Dry
T20060003269,Dry
T20060003271,Dry
T20060003276,Dry
T20060003278,Dry
T20060003279,Dry
T20060003280,Dry
T20060003281,Dry
T20060003284,Dry
T20060003285,Dry
T20060003288,Dry
T20060003291,Dry
T20060003294,Dry
T20060003295,Unknown
T20060003301,Dry
T20060003306,Wet
T20060003307,Dry
T20060003308,Dry
T20060003309,Dry
T20060003312,Dry
T20060003314,Dry
T20060003318,Dry
T20060003319,Dry
T20060003325,Dry
T20060003326,Dry
T20060003329,Dry
T20060003332,Wet
T20060003334,Dry
T20060003339,Dry
T20060003344,Wet
T20060003345,Dry
T20060003346,Dry
T20060003349,Dry
T20060003354,Dry
T20060003355,Dry
T20060003361,Wet
T20060003371,Dry
T20060003378,Dry
T20060003383,Dry
T20060003384,Dry
T20060003386,Dry
T20060003388,Dry
T20060003393,Dry
T20060003394,Dry
T20060003398,Dry
T20060003400,Dry
T20060003406,Dry
T20060003407,Dry
T20060003411,Dry
T20060003414,Dry
T20060003416,Dry
T20060003421,Dry
T20060003422,Dry
T20060003426,Dry
T20060003429,Dry
T20060003432,Dry
T20060003433,Unknown
T20060003438,Dry
T20060003441,Dry
