accident_no,atmosph_cond_desc
T20060003545,Clear
T20060003551,Clear
T20060003552,Clear
T20060003556,Clear
T20060003561,Clear
T20060003565,Clear
T20060003567,Clear
T20060003570,Clear
T20060003571,Clear
T20060003572,Clear
T20060003573,Clear
T20060003574,Clear
T20060003576,Clear
T20060003578,Clear
T20060003586,Clear
T20060003589,Clear
T20060003599,Clear
T20060003600,Clear
T20060003601,Clear
T20060003603,Clear
T20060003605,Clear
T20060003607,Clear
T20060003608,Clear
T20060003609,Clear
T20060003611,Clear
T20060003614,Clear
T20060003616,Clear
T20060003617,Clear
T20060003618,Clear
T20060003622,Clear
T20060003627,Clear
T20060003633,Clear
T20060003634,Clear
T20060003637,Clear
T20060003641,Clear
T20060003643,Clear
T20060003646,Clear
T20060003653,Clear
T20060003656,Clear
T20060003659,Clear
T20060003663,Clear
T20060003671,Clear
T20060003671,Strong winds
T20060003673,Clear
T20060003675,Clear
T20060003681,Not known
T20060003684,Clear
T20060003690,Clear
T20060003693,Clear
T20060003694,Clear
T20060003699,Clear
T20060003705,Clear
T20060003707,Clear
T20060003713,Clear
T20060003721,Clear
T20060003727,Clear
T20060003738,Clear
T20060003743,Clear
T20060003744,Clear
T20060003746,Clear
T20060003747,Clear
T20060003749,Clear
T20060003753,Clear
T20060003754,Clear
T20060003755,Clear
T20060003759,Clear
T20060003761,Clear
T20060003766,Clear
T20060003777,Clear
T20060003779,Clear
T20060003782,Clear
T20060003785,Clear
T20060003791,Raining
T20060003794,Clear
T20060003795,Clear
T20060003798,Clear
T20060003802,Clear
T20060003805,Clear
T20060003810,Clear
T20060003811,Clear
T20060003814,Clear
T20060003817,Clear
T20060003818,Clear
T20060003819,Clear
T20060003823,Clear
T20060003828,Clear
T20060003829,Clear
T20060003830,Clear
T20060003834,Raining
T20060003838,Not known
T20060003842,Clear
T20060003856,Raining
T20060003857,Clear
T20060003860,Clear
T20060003869,Clear
T20060003876,Raining
T20060003877,Raining
T20060003878,Raining
T20060003880,Raining
T20060003885,Clear
T20060003886,Clear
T20060003887,Raining
T20060003888,Clear
T20060003889,Raining
T20060003890,Raining
T20060003893,Raining
T20060003894,Raining
T20060003897,Raining
T20060003901,Raining
T20060003911,Raining
T20060003917,Clear
T20060003920,Clear
T20060003925,Clear
T20060003932,Clear
T20060003945,Clear
T20060003946,Clear
T20060003947,Raining
T20060003953,Raining
T20060003953,Strong winds
T20060003954,Raining
T20060003955,Raining
T20060003956,Clear
T20060003964,Raining
T20060003967,Not known
T20060003970,Clear
T20060003975,Clear
T20060003981,Clear
T20060003994,Clear
T20060004005,Raining
T20060004013,Raining
T20060004015,Clear
T20060004018,Clear
T20060004021,Clear
T20060004024,Clear
T20060004029,Clear
T20060004038,Clear
T20060004039,Clear
T20060004040,Clear
T20060004041,Raining
T20060004048,Clear
T20060004059,Not known
T20060004061,Clear
T20060004066,Clear
T20060004068,Clear
T20060004079,Clear
T20060004096,Clear
T20060004103,Clear
T20060004113,Clear
T20060004118,Clear
T20060004120,Clear
T20060004123,Clear
T20060004125,Clear
T20060004129,Clear
T20060004130,Raining
T20060004131,Clear
T20060004133,Clear
T20060004138,Clear
T20060004143,Clear
T20060004144,Clear
T20060004145,Clear
T20060004152,Clear
T20060004156,Raining
T20060004158,Clear
T20060004159,Clear
T20060004161,Clear
T20060004168,Clear
T20060004176,Not known
T20060004179,Clear
T20060004197,Clear
T20060004198,Clear
T20060004199,Clear
T20060004202,Clear
T20060004203,Clear
T20060004216,Raining
